Closing Date,State
03-Nov-23,Iowa
28-Jul-23,Kansas
01-May-23,California
12-Mar-23,New York
10-Mar-23,California
23-Oct-20,Kansas
16-Oct-20,Florida
03-Apr-20,West Virginia
14-Feb-20,Nebraska
01-Nov-19,New Jersey
25-Oct-19,Ohio
25-Oct-19,Kentucky
31-May-19,Texas
15-Dec-17,Illinois
13-Oct-17,Kansas
26-May-17,Illinois
05-May-17,Wisconsin
28-Apr-17,Louisiana
03-Mar-17,Utah
27-Jan-17,Illinois
13-Jan-17,New Jersey
23-Sep-16,Arkansas
19-Aug-16,Georgia
06-May-16,Pennsylvania
29-Apr-16,Tennessee
11-Mar-16,Wisconsin
02-Oct-15,Washington
02-Oct-15,Georgia
10-Jul-15,Colorado
08-May-15,Illinois
27-Feb-15,Puerto Rico
13-Feb-15,Georgia
23-Jan-15,Illinois
16-Jan-15,Florida
19-Dec-14,Minnesota
07-Nov-14,California
24-Oct-14,Illinois
17-Oct-14,Maryland
25-Jul-14,Illinois
18-Jul-14,Georgia
27-Jun-14,Oklahoma
20-Jun-14,Florida
20-Jun-14,Illinois
30-May-14,Maryland
23-May-14,Ohio
16-May-14,Illinois
25-Apr-14,South Carolina
28-Feb-14,Pennsylvania
28-Feb-14,Virginia
31-Jan-14,Idaho
24-Jan-14,Oklahoma
17-Jan-14,Illinois
13-Dec-13,Texas
30-Oct-13,Florida
13-Sep-13,Texas
13-Sep-13,Connecticut
23-Aug-13,Arizona
23-Aug-13,Tennessee
09-Aug-13,Wisconsin
02-Aug-13,Florida
07-Jun-13,Tennessee
06-Jun-13,Nevada
31-May-13,Wisconsin
14-May-13,Arizona
10-May-13,Georgia
10-May-13,North Carolina
26-Apr-13,Georgia
26-Apr-13,North Carolina
19-Apr-13,Florida
19-Apr-13,Florida
19-Apr-13,Kentucky
05-Apr-13,Arizona
08-Mar-13,Georgia
15-Feb-13,Illinois
18-Jan-13,Minnesota
11-Jan-13,Washington
14-Dec-12,Missouri
16-Nov-12,Georgia
02-Nov-12,Illinois
02-Nov-12,Florida
26-Oct-12,Pennsylvania
19-Oct-12,Missouri
19-Oct-12,Florida
19-Oct-12,Florida
28-Sep-12,Illinois
14-Sep-12,Missouri
07-Sep-12,Minnesota
03-Aug-12,Illinois
27-Jul-12,Georgia
20-Jul-12,Illinois
20-Jul-12,Kansas
20-Jul-12,Georgia
20-Jul-12,Georgia
20-Jul-12,Florida
13-Jul-12,Missouri
06-Jul-12,Georgia
15-Jun-12,Tennessee
15-Jun-12,Georgia
15-Jun-12,Florida
08-Jun-12,North Carolina
08-Jun-12,Illinois
08-Jun-12,South Carolina
08-Jun-12,Oklahoma
18-May-12,Alabama
04-May-12,Florida
27-Apr-12,California
27-Apr-12,South Carolina
27-Apr-12,Minnesota
27-Apr-12,Maryland
27-Apr-12,Maryland
20-Apr-12,New Jersey
30-Mar-12,Michigan
23-Mar-12,Illinois
23-Mar-12,Georgia
09-Mar-12,Illinois
02-Mar-12,Georgia
24-Feb-12,Minnesota
24-Feb-12,Georgia
10-Feb-12,Indiana
10-Feb-12,Illinois
27-Jan-12,Tennessee
27-Jan-12,Minnesota
27-Jan-12,Tennessee
27-Jan-12,Florida
20-Jan-12,Pennsylvania
20-Jan-12,Georgia
20-Jan-12,Florida
16-Dec-11,Arizona
16-Dec-11,Florida
18-Nov-11,Louisiana
18-Nov-11,Iowa
10-Nov-11,Georgia
04-Nov-11,Utah
04-Nov-11,Nebraska
28-Oct-11,Illinois
21-Oct-11,Colorado
21-Oct-11,Georgia
21-Oct-11,Georgia
21-Oct-11,Florida
14-Oct-11,Illinois
14-Oct-11,New Jersey
14-Oct-11,North Carolina
14-Oct-11,Georgia
07-Oct-11,Missouri
07-Oct-11,Minnesota
30-Sep-11,Texas
23-Sep-11,California
23-Sep-11,Virginia
09-Sep-11,Florida
02-Sep-11,Georgia
02-Sep-11,Georgia
19-Aug-11,Illinois
19-Aug-11,Georgia
19-Aug-11,Florida
18-Aug-11,Pennsylvania
12-Aug-11,Kansas
05-Aug-11,Washington
05-Aug-11,Illinois
29-Jul-11,Indiana
29-Jul-11,South Carolina
29-Jul-11,Virginia
22-Jul-11,Colorado
22-Jul-11,Florida
22-Jul-11,Florida
15-Jul-11,Arizona
15-Jul-11,Florida
15-Jul-11,Georgia
15-Jul-11,Georgia
08-Jul-11,Colorado
08-Jul-11,Colorado
08-Jul-11,Illinois
24-Jun-11,Georgia
17-Jun-11,Florida
17-Jun-11,Georgia
03-Jun-11,South Carolina
27-May-11,Washington
20-May-11,Washington
20-May-11,Georgia
20-May-11,Georgia
06-May-11,Florida
29-Apr-11,Michigan
29-Apr-11,Georgia
29-Apr-11,Georgia
29-Apr-11,Florida
29-Apr-11,Florida
15-Apr-11,Mississippi
15-Apr-11,Minnesota
