Closing Date,State Abbreviation
03-Nov-23,IA
28-Jul-23,KS
01-May-23,CA
12-Mar-23,NY
10-Mar-23,CA
23-Oct-20,KS
16-Oct-20,FL
03-Apr-20,WV
14-Feb-20,NE
01-Nov-19,NJ
25-Oct-19,OH
25-Oct-19,KY
31-May-19,TX
15-Dec-17,IL
13-Oct-17,KS
26-May-17,IL
05-May-17,WI
28-Apr-17,LA
03-Mar-17,UT
27-Jan-17,IL
13-Jan-17,NJ
23-Sep-16,AR
19-Aug-16,GA
06-May-16,PA
29-Apr-16,TN
11-Mar-16,WI
02-Oct-15,WA
02-Oct-15,GA
10-Jul-15,CO
08-May-15,IL
27-Feb-15,PR
13-Feb-15,GA
23-Jan-15,IL
16-Jan-15,FL
19-Dec-14,MN
07-Nov-14,CA
24-Oct-14,IL
17-Oct-14,MD
25-Jul-14,IL
18-Jul-14,GA
27-Jun-14,OK
20-Jun-14,FL
20-Jun-14,IL
30-May-14,MD
23-May-14,OH
16-May-14,IL
25-Apr-14,SC
28-Feb-14,PA
28-Feb-14,VA
31-Jan-14,ID
24-Jan-14,OK
17-Jan-14,IL
13-Dec-13,TX
30-Oct-13,FL
13-Sep-13,TX
13-Sep-13,CT
23-Aug-13,AZ
23-Aug-13,TN
09-Aug-13,WI
02-Aug-13,FL
07-Jun-13,TN
06-Jun-13,NV
31-May-13,WI
14-May-13,AZ
10-May-13,GA
10-May-13,NC
26-Apr-13,GA
26-Apr-13,NC
19-Apr-13,FL
19-Apr-13,FL
19-Apr-13,KY
05-Apr-13,AZ
08-Mar-13,GA
15-Feb-13,IL
18-Jan-13,MN
11-Jan-13,WA
14-Dec-12,MO
16-Nov-12,GA
02-Nov-12,IL
02-Nov-12,FL
26-Oct-12,PA
19-Oct-12,MO
19-Oct-12,FL
19-Oct-12,FL
28-Sep-12,IL
14-Sep-12,MO
07-Sep-12,MN
03-Aug-12,IL
27-Jul-12,GA
20-Jul-12,IL
20-Jul-12,KS
20-Jul-12,GA
20-Jul-12,GA
20-Jul-12,FL
13-Jul-12,MO
06-Jul-12,GA
15-Jun-12,TN
15-Jun-12,GA
15-Jun-12,FL
08-Jun-12,NC
08-Jun-12,IL
08-Jun-12,SC
08-Jun-12,OK
18-May-12,AL
04-May-12,FL
27-Apr-12,CA
27-Apr-12,SC
27-Apr-12,MN
27-Apr-12,MD
27-Apr-12,MD
20-Apr-12,NJ
30-Mar-12,MI
23-Mar-12,IL
23-Mar-12,GA
09-Mar-12,IL
02-Mar-12,GA
24-Feb-12,MN
24-Feb-12,GA
10-Feb-12,IN
10-Feb-12,IL
27-Jan-12,TN
